99248;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
99247;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
99246;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
99245;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
99244;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
99176;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
99130;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
99024;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
99023;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
98832;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
98736;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
98723;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
98568;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
98322;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
98318;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
98317;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
98310;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
98307;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
98254;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
98226;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
9785;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
97745;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97744;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97743;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97742;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97741;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97740;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97734;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
97652;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97638;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
97618;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97616;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97609;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97597;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97596;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
97594;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97591;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
97572;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97385;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97383;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97382;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
97381;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
97380;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97379;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
97378;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97374;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
97373;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97217;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
97215;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97214;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
97034;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
97032;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96907;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96906;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96905;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96841;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96840;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96838;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96835;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96834;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96832;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96826;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96805;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96797;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
96780;[{'StatusClarification': 'Остановлено.'}, {'StatusClarification': 'Остановлено.'}]
96773;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96772;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96762;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
9675;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96745;[{'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}, {'StatusClarification': 'Архивно.'}]
96732;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96731;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96730;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96729;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
96728;[{'StatusClarification': 'Идут показы.'}, {'StatusClarification': 'Идут показы.'}]
