product_id;clear_url;Avaible;Price;OldPrice;Ads_id; ;Status
17807;https://www.4glaza.ru/products/bresser_pluto_500x114/;;;;[11528231601, 11528231602];;Идут показы.
18114;https://www.4glaza.ru/products/levenhuk_skymatic_135_gta/;;;;[11528231937, 11528231938];;Идут показы.
18116;https://www.4glaza.ru/products/levenhuk_skymatic_105_gt_mak/;;;;[11528231935, 11528231936];;Идут показы.
21417;https://www.4glaza.ru/products/nikon_7x35_action_ex_wp/;;;;[11528231217, 11528231218];;Архивно.
22546;https://www.4glaza.ru/products/binokl_bps3_12_45/;;;;[11528231253, 11528231254];;Идут показы.
24327;https://www.4glaza.ru/products/micro-micromed1-3-20/;;;;[11711519350, 11711519351, 11711519352];;Идут показы.
24488;https://www.4glaza.ru/products/bino_bresser_1410820/;;;;[11528232898, 11528232899];;Идут показы.
24489;https://www.4glaza.ru/products/bino_bresser_1411024/;;;;[11528232896, 11528232897];;Идут показы.
24611;https://www.4glaza.ru/products/levenhuk_850b/;;;;[11443896126, 11443896127, 11443896128];;Идут показы.
24613;https://www.4glaza.ru/products/levenhuk_870t/;;;;[11443896129, 11443896130, 11443896131];;Идут показы.
25318;https://www.4glaza.ru/products/microscope_mp900_9939/;;;;[11711519320, 11711519321, 11711519322];;Идут показы.
25648;https://www.4glaza.ru/products/levenhuk_2sng/;;;;[11443896042, 11443896043, 11443896044];;Идут показы.
25649;https://www.4glaza.ru/products/levenhuk_3sng/;;;;[11443896060, 11443896061, 11443896062];;Идут показы.
25808;https://www.4glaza.ru/products/meade-8-lx200-acf-uhtc;;;;[12062302617, 12062302618];;Идут показы.
26054;https://www.4glaza.ru/products/bresser_pollux_150_1400eq2/;;;;[11528231597, 11528231598];;Идут показы.
26728;https://www.4glaza.ru/products/scope_spectar_4334500/;;;;[11528232780, 11528232781];;Идут показы.
26729;https://www.4glaza.ru/products/scope_spectar_4334000/;;;;[11528232894, 11528232895];;Архивно.
26730;https://www.4glaza.ru/products/scope_spectar_4322000/;;;;[11528231595, 11528231596];;Идут показы.
26731;https://www.4glaza.ru/products/scope_spectar_4321500/;;;;[11528232892, 11528232893];;Идут показы.
26741;https://www.4glaza.ru/products/bresser_condor_8_56/;;;;[11528231569, 11528231570];;Архивно.
26745;https://www.4glaza.ru/products/bresser_condor_8_32/;;;;[11528232902, 11528232903];;Идут показы.
26746;https://www.4glaza.ru/products/bresser_nautic_7_50_wp_cmp/;;;;[11528231719, 11528231720];;Идут показы.
26753;https://www.4glaza.ru/products/bresser_junior_8855001/;;;;[11443896810, 11443896811, 11443896812];;Идут показы.
26754;https://www.4glaza.ru/products/bresser_junior_8855000/;;;;[11443896813, 11443896814, 11443896815];;Идут показы.
26782;https://www.4glaza.ru/products/bresser_condor_8_42/;;;;[11528232900, 11528232901];;Идут показы.
27646;https://www.4glaza.ru/products/levenhuk_skyline_pro_90mak/;;;;[11528231941, 11528231942];;Идут показы.
28296;https://www.4glaza.ru/products/levenhuk_skymatic_127gtmak/;;;;[11528231939, 11528231940];;Идут показы.
28300;https://www.4glaza.ru/products/levenhuk_skyline_pro_127mak_eq/;;;;[11528231943, 11528231944];;Идут показы.
28435;https://www.4glaza.ru/products/eschenbach_162411;;;;[11957252701, 11957252702];;Идут показы.
28573;https://www.4glaza.ru/products/micro-biomed-s1/;;;;[11443896027, 11443896028, 11443896029];;Идут показы.
28682;https://www.4glaza.ru/products/bresser-messier-ar-90-exos1/;;;;[11528232804, 11528232805];;Идут показы.
28691;https://www.4glaza.ru/products/bresser-messier-ar-102-exos1/;;;;[11528232608, 11528232609];;Идут показы.
28895;https://www.4glaza.ru/products/celestron-skymaster-15x70/;;;;[11528231163, 11528231164];;Идут показы.
